89
640,600,40,40
540,640,100,40
680,640,100,40
780,560,40,80
760,520,40,40
740,480,40,40
660,440,80,40
580,440,80,40
540,480,40,40
520,520,40,40
500,560,40,80
640,400,40,40
580,380,60,40
640,360,40,40
680,380,60,40
740,400,40,80
740,320,40,80
780,280,40,40
820,260,40,40
860,240,80,40
940,280,40,100
900,380,40,40
940,420,40,100
860,520,80,40
820,500,40,40
780,480,40,40
580,320,80,40
660,320,80,40
540,280,40,40
520,240,40,40
500,160,40,80
540,120,100,40
640,160,40,40
680,120,100,40
780,160,40,80
760,240,40,40
740,280,40,40
540,400,40,80
540,320,40,80
500,280,40,40
460,260,40,40
380,240,80,40
340,280,40,100
380,380,40,40
340,420,40,100
380,520,80,40
460,500,40,40
500,480,40,40
660,480,80,40
580,480,80,40
560,520,100,40
660,520,100,40
540,560,80,40
620,560,80,40
700,560,80,40
540,600,100,40
680,600,100,40
780,320,40,80
780,400,40,80
820,300,40,100
820,400,40,100
860,280,40,80
860,360,40,80
860,440,40,80
900,420,40,100
900,280,40,100
660,280,80,40
580,280,80,40
560,240,100,40
660,240,100,40
540,200,80,40
620,200,80,40
700,200,80,40
540,160,100,40
680,160,100,40
500,320,40,80
500,400,40,80
460,300,40,100
460,400,40,100
420,280,40,80
420,360,40,80
420,440,40,80
380,420,40,100
380,280,40,100
460,220,40,40
420,200,40,40
340,180,80,40
260,160,80,40
180,140,80,40
